i 228 0 0
w 140 4110f440 a
r 100 0 0
r 1dc 0 0
r 390 0 0
w 31c 20967ed3 8
w 328 fdfb2e2d e
w 264 44133333 4
w 3e8 e04f3b86 5
i 2e4 0 0
i 398 0 0
r 184 0 0
w 120 60666e0 7
r 27c 0 0
r 204 0 0
w 13c 9ee9b33f d
r 344 0 0
w 34 f5064bbf 9
r 274 0 0
r 164 0 0
w 224 b5323b43 7
i 2a4 0 0
w 27c dfdab14e 0
i 138 0 0
r b4 0 0
r 1e8 0 0
r 24c 0 0
r 194 0 0
i 294 0 0
w 238 8e66c0e4 4
w 16c 6af3e784 9
r 190 0 0
i c0 0 0
w 220 6774b38c 3
r ec 0 0
w 220 88b2d756 f
w 39c a9caaa4b a
r 100 0 0
w 188 3d64426f e
w 344 e1401066 e
r 4 0 0
r 58 0 0
w 178 17285adf 4
w 16c c9398e21 c
r 110 0 0
r 274 0 0
r 3a8 0 0
w 308 a99234c7 3
r 28c 0 0
w 364 2c4dafe2 5
r 54 0 0
w 1e8 236b8e34 1
w 1d4 a5ff2b87 d
w 1f0 44569e9a 2
i 210 0 0
r 2a0 0 0
r 268 0 0
r 2d0 0 0
r 110 0 0
i 154 0 0
r 38c 0 0
r c8 0 0
r 268 0 0
w 17c 38537736 a
r 2c 0 0
r 39c a900aa00 0
w 224 12c24792 c
r 308 34c7 0
r 280 0 0
r bc 0 0
i 11c 0 0
r 268 0 0
i 274 0 0
r 7c 0 0
r 2c4 0 0
w 15c 34bfbcc4 3
w 378 6b7e9d13 4
r 200 0 0
r 1a4 0 0
r 1b4 0 0
r 1c0 0 0
w 3bc 280bf17f 8
r 3d4 0 0
w 2b4 acff2b06 f
w 314 7bf67d1a 8
r 27c 0 0
r 4 0 0
w 1ac 4761a7cf 8
w 32c 107b2b62 7
i 300 0 0
r a4 0 0
w 104 2a887540 b
w 128 a746be7f 9
i 2c4 0 0
w 1a8 cc77799f a
i 1c0 0 0
r 1a4 0 0
r 338 0 0
r 0 0 0
i 180 0 0
r 1c 0 0
i c8 0 0
i 320 0 0
r 19c 0 0
r 26c 0 0
r d4 0 0
r 250 0 0
r f8 0 0
r 3f0 0 0
w 3fc 970077 6
w 34c a1096e80 7
r 24 0 0
i 1b8 0 0
w 348 cd28d13b 6
w 144 feb85998 e
r 198 0 0
r 368 0 0
r d4 0 0
r 214 0 0
w 2ac 88f68f2d e
w c8 a0aeb022 f
r 3ac 0 0
w 304 2496ec7b 3
w 94 4c404ce a
r 210 0 0
w 154 a00ea1cf 8
r 24 0 0
w 3dc 5c5fe42 5
w 2e4 d80e0f8b f
w 120 97208e01 c
r 110 0 0
r 19c 0 0
r 2a0 0 0
w 2fc ea394f91 e
w 184 af320a35 b
r 150 0 0
r 3e4 0 0
r 24 0 0
r 3e4 0 0
w 310 b2d3436c f
w b8 edc58a56 3
w 64 8327de99 d
w 2b0 a0722334 8
r 3a0 0 0
w 3b4 5aacd355 a
r 20c 0 0
r 190 0 0
w 274 14183d44 d
w 2b8 b03ffc42 a
r 294 0 0
w 4 8d401340 8
r 150 0 0
r 8 0 0
r 304 ec7b 0
r 1e4 0 0
r 324 0 0
r 1ec 0 0
w 274 9558aa57 e
r 29c 0 0
w 264 766551eb c
w ac 2b84d8b9 d
r 1fc 0 0
r 3fc 970000 0
r 188 3d644200 0
r 1b4 0 0
w 17c 54dea760 1
r 2c 0 0
r 3e0 0 0
r e0 0 0
w 31c eb49c1ac 5
w 2c0 5bd8229 0
r 164 0 0
r 15c bcc4 0
w 344 aecb7d96 0
r 2c8 0 0
r 320 0 0
w 5c a51886b 7
r 6c 0 0
r 18c 0 0
i 114 0 0
r 98 0 0
w 2ec a9ce2823 c
w 3dc 10c09303 e
w 288 fb6fecc f
r 15c bcc4 0
r 358 0 0
i 90 0 0
r 2ac 88f68f00 0
w 1a4 29535af2 2
w 1f8 29dc1c07 a
w 290 86753750 f
r 238 660000 0
r 264 76650000 0
w 30c 628cb91 a
w 1e8 6297a81b d
r c8 a0aeb022 0
r 1d4 a5ff0087 0
w 35c bd8f98d7 d
r 348 28d100 0
w 200 5406a12 5
r e4 0 0
r 148 0 0
r 17c 38007760 0
w 18c 3acdecc7 5
w 200 e1174dbd a
w 240 654be1fe 3
r 3f0 0 0
i 110 0 0
r 35c bd8f00d7 0
r 30 0 0
w 2e8 270edb78 1
r 7c 0 0
w 320 d1e78a3e 0
i 64 0 0
r c8 a0aeb022 0
r 2c8 0 0
r 64 83270099 0
r 100 0 0
r 17c 38007760 0
w d4 d85dd48c 7
w 40 11c75a0a a
r 104 2a007540 0
r 2a0 0 0
w e0 49e86a90 0
w 32c 7a2aa276 2
i 150 0 0
r f0 0 0
r 94 4000400 0
i d8 0 0
w 3c4 4c022d17 1
r 3c8 0 0
r 34 f50000bf 0
r 3b4 5a00d300 0
w 3e8 9e2d288d 8
w 2f4 5a04c22a 6
r 158 0 0
w 3a0 a81cc57d 1
w 160 1a3d489e 6
w 1c4 1c491675 e
i 358 0 0
i 4c 0 0
w 290 ac5d1bef 5
w e4 c0f78a4d 0
w 348 d8526264 8
r b0 0 0
w 1c0 f378a796 1
r 3ac 0 0
i d8 0 0
w 2b8 bb9f129b 1
r 1d0 0 0
r 2fc ea394f00 0
r 44 0 0
r 1ec 0 0
w 190 2199e21e c
w 2b4 fd7c549f 7
r c4 0 0
r 24 0 0
r 34 f50000bf 0
w 380 a0ff1d43 a
w 3a0 1b1a27fb e
r 2b4 ac7c549f 0
w 70 ba5ccd84 2
